
============================================================
PERFORMANCE SUMMARY — MP+HS Dual-Tool (Mode: both)
============================================================
Session date:           2026-05-17 18:07:12
Session duration:       755.9 seconds
Total frames processed: 20580
Average latency:        27.3 ms (both tools)
Median latency:         27.9 ms
95th percentile:        31.5 ms
Min latency:            2.5 ms
Max latency:            140.7 ms
Effective FPS:          27.2
============================================================
CSV (full):    /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S05_Vid10_bright/20260517_175428_mp_hs_S05_Vid10_bright.csv
CSV (compact): /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S05_Vid10_bright/20260517_175428_mp_hs_S05_Vid10_bright_compact.csv
Events CSV:    /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S05_Vid10_bright/20260517_175428_mp_hs_S05_Vid10_bright_events.csv
Summary:       /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S05_Vid10_bright/20260517_175428_mp_hs_S05_Vid10_bright_summary.txt
Events found:  0
============================================================

------------------------------------------------------------
SESSION METADATA
------------------------------------------------------------
Session ID:             20260517_175428
Subject:                S05
Video ID:               Vid10
Content:                mixed
Stimulus type:          mixed
Lighting:               bright
Video source:           /home/burak/Desktop/Bitirme/Recordings/S05_Vid10.mp4
Notes:                  (none)

------------------------------------------------------------
RESOURCE USAGE
------------------------------------------------------------
Device used:            cpu
GPU (hardware):         NVIDIA GeForce GTX 1650
CPU avg:                63.7%
CPU peak:               84.1%
RAM avg:                404 MB
RAM peak:               405 MB
VRAM avg:               7 MB
VRAM peak:              7 MB

------------------------------------------------------------
FACE DETECTION
------------------------------------------------------------
Frames with face:       19934 / 20580 (96.9%)
Frames without face:    646 / 20580 (3.1%)

------------------------------------------------------------
TIMING BREAKDOWN
------------------------------------------------------------
First-frame latency:    140.7 ms (model warmup)
Steady-state avg:       27.3 ms (excluding first frame)
Steady-state p95:       31.5 ms (excluding first frame)

SESSION FINGERPRINT
  (unknown tool — no fingerprint available)

KEY MOMENTS
  (primary signal column not found)

------------------------------------------------------------------------------------------------------------------------
FEATURE STATISTICS
------------------------------------------------------------------------------------------------------------------------
Feature                      min     max    mean  median     std      p5     p25     p75     p95   range    nz%
timestamp                 0.0170 343.0000 171.5083 171.5085 99.0180 17.1662 85.7627 257.2543 325.8509 342.9830 100.0%
composite_fear            0.0000  1.0000  0.1375  0.0726  0.1734  0.0020  0.0208  0.1771  0.5239  1.0000  96.2%
hs_fear                   0.0000  0.9337  0.1244  0.0656  0.1566  0.0018  0.0188  0.1605  0.4722  0.9337  96.1%
hs_arousal               -0.5264  1.2985  0.1963  0.1098  0.3792 -0.3154 -0.0911  0.4522  0.8854  1.8249  96.7%
hs_dominant_score         0.0000  0.9990  0.5360  0.5233  0.1975  0.2680  0.4040  0.6733  0.8796  0.9990  96.9%
mp_tension                0.0000  0.5146  0.1088  0.0990  0.0795  0.0000  0.0544  0.1477  0.2574  0.5146  89.5%
mp_startle_score          0.0000 26.7938  0.3518  0.0432  0.9460  0.0000  0.0069  0.2480  1.7729 26.7938  89.4%
f0                        0.0000  0.8889  0.1819  0.1056  0.2023  0.0000  0.0000  0.3210  0.5603  0.8889  71.9%
f1                        0.0000  0.6308  0.1182  0.0894  0.0982  0.0051  0.0574  0.1487  0.3290  0.6308  96.4%
f2                        0.0000  0.5049  0.1180  0.0954  0.0862  0.0073  0.0558  0.1649  0.2842  0.5049  96.5%
f3                        0.0000  0.7503  0.1352  0.1016  0.1269  0.0000  0.0376  0.2016  0.3907  0.7503  89.7%
f4                        0.0000  0.8889  0.0912  0.0000  0.1640  0.0000  0.0000  0.1262  0.4923  0.8889  40.1%
f5                        0.0000  0.5730  0.1018  0.0767  0.0838  0.0083  0.0471  0.1303  0.2794  0.5730  96.7%
f6                        0.0000  0.6253  0.1057  0.0784  0.0962  0.0032  0.0452  0.1349  0.3084  0.6253  96.4%
f7                        0.0000  0.9337  0.1244  0.0656  0.1566  0.0018  0.0188  0.1605  0.4722  0.9337  96.1%
f8                        0.0000  0.5146  0.1088  0.0990  0.0795  0.0000  0.0544  0.1477  0.2574  0.5146  89.5%
f9                        0.0000  0.9337  0.1778  0.1420  0.1438  0.0083  0.0925  0.2082  0.4847  0.9337  96.8%
f10                       0.0000  0.5436  0.0890  0.0754  0.0722  0.0000  0.0384  0.1228  0.2297  0.5436  89.5%
f11                       0.0000  0.9298  0.0907  0.0173  0.1534  0.0000  0.0000  0.1126  0.4344  0.9298  62.3%
smoothed_composite        0.0000  0.4496  0.1180  0.1020  0.0754  0.0289  0.0636  0.1549  0.2591  0.4496  98.9%
onset_slope              -0.0077  0.0073  0.0000  0.0000  0.0015 -0.0023 -0.0007  0.0006  0.0024  0.0149  37.5%
is_neutral_frame          0.0000  1.0000  0.1233  0.0000  0.3288  0.0000  0.0000  0.0000  1.0000  1.0000  12.3%
mp_face_valence          -0.8600  1.0000 -0.1054 -0.1243  0.3215 -0.5370 -0.2717 -0.0269  0.6471  1.8600  96.4%
mp_smile_level            0.0000  0.9717  0.1100  0.0001  0.2582  0.0000  0.0000  0.0067  0.8619  0.9717  34.4%
mp_browDownLeft           0.0000  0.9634  0.2409  0.1901  0.2037  0.0022  0.0757  0.3940  0.6506  0.9634  95.9%
mp_browDownRight          0.0000  0.9096  0.2372  0.1860  0.2020  0.0048  0.0743  0.3779  0.6488  0.9096  96.3%
mp_browInnerUp            0.0000  0.7970  0.0234  0.0011  0.0870  0.0000  0.0002  0.0036  0.1652  0.7970  51.2%
